automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
forest-fire,CUDA,simple,bit_array,bit_array,,13440,13440,100,10,5,0,0,16,16,42,32,27.749579,0.153624,0.030343,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_array,bit_array,,20160,20160,100,10,5,0,0,16,16,42,32,63.339945,0.155846,0.391260,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_array,bit_array,,6720,6720,100,10,5,0,0,16,16,42,64,12.890458,0.285450,0.003016,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_array,bit_array,,13440,13440,100,10,5,0,0,16,16,42,64,151.230387,0.837222,0.543190,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_array,bit_array,,20160,20160,100,10,5,0,0,16,16,42,64,244.790530,0.602301,0.355072,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_planes,bit_planes,,6720,6720,100,10,5,0,0,16,16,42,32,1.206811,0.026724,0.000580,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_planes,bit_planes,,13440,13440,100,10,5,0,0,16,16,42,32,4.400660,0.024362,0.003827,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_planes,bit_planes,,20160,20160,100,10,5,0,0,16,16,42,32,26.290449,0.064687,0.011839,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
forest-fire,CUDA,simple,bit_planes,bit_planes,,6720,6720,100,10,5,0,0,16,16,42,64,1.004357,0.022241,0.000802,true,4688-4659-4635-4552-4497-4454-4520-4600-4648-4409-4512-4735-4575-4531-4546-4487
forest-fire,CUDA,simple,bit_planes,bit_planes,,13440,13440,100,10,5,0,0,16,16,42,64,3.574054,0.019786,0.002315,true,18394-18329-17828-18071-18446-18089-18205-18225-18272-18497-17961-18655-18448-18100-18217-18365
forest-fire,CUDA,simple,bit_planes,bit_planes,,20160,20160,100,10,5,0,0,16,16,42,64,26.219333,0.064512,0.088018,true,40827-40914-40739-40649-40970-41101-40526-41187-40870-41151-41307-41143-41010-41461-40716-40840
wire,CUDA,,,,baseline,6720,6720,300,10,5,0,0,16,16,42,32,140.098299,3.102375,0.104345,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,,,,baseline,13440,13440,300,10,5,0,0,16,16,42,32,554.829613,3.071575,1.114435,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,,,,baseline,20160,20160,300,10,5,0,0,16,16,42,32,1249.557325,3.074504,2.386399,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,standard,standard,,6720,6720,300,10,5,0,0,16,16,42,0,140.221514,3.105104,0.128353,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,standard,standard,,13440,13440,300,10,5,0,0,16,16,42,0,555.344365,3.074424,0.647592,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,standard,standard,,20160,20160,300,10,5,0,0,16,16,42,0,1251.996590,3.080506,2.684703,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,300,10,5,1,1,16,16,42,0,140.208948,3.104825,0.086528,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,13440,13440,300,10,5,1,1,16,16,42,0,555.550349,3.075565,0.728582,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,20160,20160,300,10,5,1,1,16,16,42,0,1250.959546,3.077955,1.774202,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,300,10,5,1,2,16,16,42,0,140.117993,3.102811,0.120511,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
